scientific_name_normalized,total_interaction_records,group_Butterflies & moths,group_Other insects,group_Sawflies,group_Beetles,group_Birds,group_Flower flies & other flies,group_True bugs,group_Native bees,"group_Grasshoppers, crickets & katydids",group_Wasps & ants,group_Hummingbirds,group_Mammals,group_Honey bees (non-native)
pontederia cordata,11,6.0,,,,,,,5.0,,,,,
populus deltoides,256,198.0,47.0,,9.0,,,2.0,,,,,,
prunus angustifolia,352,312.0,35.0,,2.0,,,1.0,2.0,,,,,
prunus caroliniana,349,314.0,31.0,,1.0,,,1.0,2.0,,,,,
prunus mexicana,374,324.0,36.0,,5.0,1.0,,1.0,3.0,,1.0,,1.0,2.0
prunus serotina,429,316.0,43.0,,3.0,64.0,,1.0,2.0,,,,,
prunus serotina var. eximia,348,312.0,31.0,,1.0,,,1.0,2.0,,,,1.0,
ptelea trifoliata,22,12.0,8.0,,1.0,,,1.0,,,,,,
quercus buckleyi,1000,557.0,294.0,,103.0,10.0,3.0,10.0,,,23.0,,,
quercus fusiformis,803,564.0,137.0,,10.0,64.0,2.0,5.0,,,20.0,,1.0,
quercus laceyi,699,555.0,114.0,,10.0,1.0,1.0,3.0,,,15.0,,,
quercus macrocarpa,829,558.0,169.0,,11.0,65.0,1.0,3.0,,,21.0,,1.0,
quercus marilandica,746,555.0,159.0,,10.0,2.0,2.0,3.0,,,14.0,,1.0,
quercus muehlenbergii,709,555.0,125.0,,10.0,1.0,1.0,3.0,,,13.0,1.0,,
quercus virginiana,995,562.0,263.0,,80.0,68.0,1.0,6.0,1.0,,13.0,,1.0,
ranunculus macranthus,36,17.0,13.0,,,,2.0,,2.0,,,,,2.0
ratibida columnifera,135,9.0,10.0,,2.0,64.0,,,45.0,,5.0,,,
rhus aromatica,154,64.0,8.0,,3.0,63.0,,,16.0,,,,,
rhus lanceolata,73,64.0,2.0,,,,,,6.0,,,,1.0,
rhus microphylla,87,72.0,5.0,,4.0,,,,6.0,,,,,
rhus virens,81,72.0,3.0,,,,,,6.0,,,,,
rhynchospora colorata,5,4.0,1.0,,,,,,,,,,,
rivina humilis,14,5.0,4.0,,,2.0,,,3.0,,,,,
rudbeckia hirta,64,22.0,9.0,,5.0,,1.0,1.0,26.0,,,,,
ruellia humilis,11,10.0,1.0,,,,,,,,,,,
ruellia nudiflora,10,10.0,,,,,,,,,,,,
sabal mexicana,7,7.0,,,,,,,,,,,,
sabal minor,10,7.0,1.0,,,1.0,,,,,,,1.0,
sagittaria lancifolia,9,8.0,1.0,,,,,,,,,,,
sagittaria platyphylla,10,8.0,2.0,,,,,,,,,,,
salix nigra,459,253.0,63.0,,11.0,63.0,,,68.0,,,,1.0,
salvia azurea,92,28.0,5.0,,,40.0,,,14.0,,1.0,,,4.0
salvia ballotiflora,59,34.0,5.0,,,,,,15.0,,1.0,,,4.0
salvia coccinea,139,42.0,12.0,,,60.0,,,15.0,,5.0,1.0,,4.0
salvia engelmannii,51,28.0,4.0,,,,,,14.0,,1.0,,,4.0
salvia farinacea,130,46.0,15.0,,1.0,,,,59.0,,4.0,1.0,,4.0
salvia greggii,59,34.0,6.0,,,,,,14.0,,1.0,,,4.0
salvia lyrata,52,28.0,4.0,,,,,,14.0,,1.0,1.0,,4.0
salvia pentstemonoides,51,28.0,4.0,,,,,,14.0,,1.0,,,4.0
salvia roemeriana,53,28.0,5.0,,,,,,14.0,,1.0,1.0,,4.0
salvia texana,60,34.0,5.0,,,,,,16.0,,1.0,,,4.0
sambucus nigra,45,28.0,17.0,,,,,,,,,,,
sambucus nigra ssp. canadensis,45,28.0,16.0,,,,,,,,,,1.0,
sapindus saponaria var. drummondii,17,17.0,,,,,,,,,,,,
saururus cernuus,2,2.0,,,,,,,,,,,,
schizachyrium scoparium,82,15.0,2.0,,,64.0,,1.0,,,,,,
scutellaria ovata,5,3.0,,,2.0,,,,,,,,,
scutellaria wrightii,3,3.0,,,,,,,,,,,,
senegalia greggii,27,15.0,9.0,,3.0,,,,,,,,,
senegalia wrightii,21,15.0,4.0,,,,,,,,2.0,,,
