musym,muname,mukey,mustatus,slopegraddcp,slopegradwta,brockdepmin,wtdepannmin,wtdepaprjunmin,flodfreqdcd,flodfreqmax,pondfreqprs,aws025wta,aws050wta,aws0100wta,aws0150wta,drclassdcd,drclasswettest,hydgrpdcd,iccdcd,iccdcdpct,niccdcd,niccdcdpct,engdwobdcd,engdwbdcd,engdwbll,engdwbml,engstafdcd,engstafll,engstafml,engsldcd,engsldcp,englrsdcd,engcmssdcd,engcmssmp,urbrecptdcd,urbrecptwta,forpehrtdcp,hydclprs,awmmfpwwta,compname,comppct_r,majcompflag,localphase,slope_r,runoff,drainagecl,hydricrating,hydgrp,geomdesc,ecoclassname,min_restrictive_depth_cm,restriction_kinds,topsoil_clay_pct,topsoil_sand_pct,topsoil_silt_pct,topsoil_caco3_pct,topsoil_ph,topsoil_om_pct,dashboard_soil_bucket,dashboard_soil_label
LeA,"Lewisville silty clay, 0 to 1 percent slopes",393471,,0.5,0.5,,,,,,0,4.5,8.84,16.84,24.47,Well drained,Well drained,C,,100,2,100,Very limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Not limited,Not limited,Very limited,Poor,Not rated,Somewhat limited,0.5,Erosion hazard slight,0,1,Lewisville,90,Yes,,0.5,Medium,Well drained,No,C,stream terraces on river valleys,Southern Blackland; Southern Clay Loam,,,43.5,10.0,46.5,25.0,8.2,1.75,floodplain_bottomland,Creek / floodplain / bottomland
LeB,"Lewisville silty clay, 1 to 3 percent slopes",393472,,2,2,,,,,,0,4.5,8.78,16.75,24.25,Well drained,Well drained,C,,100,2,90,Very limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Not limited,Not limited,Very limited,Poor,Not rated,Somewhat limited,0.5,Erosion hazard slight,0,1,Lewisville,85,Yes,,2.0,High,Well drained,No,C,stream terraces on river valleys,Southern Blackland; Southern Clay Loam,,,43.5,10.0,46.5,25.0,8.2,1.75,floodplain_bottomland,Creek / floodplain / bottomland
MEC,"Medlin, warm-Eckrant association, 1 to 8 percent slopes",393473,,5,5,30,,,,,0,3.19,5.7,9.47,10.09,Well drained,Well drained,D,,100,4,50,Very limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Somewhat limited,Somewhat limited,Very limited,Poor,Not rated,Somewhat limited,0.5,Erosion hazard moderate,0,1,Medlin,50,Yes,warm,5.0,Very high,Well drained,No,D,ridges on plateaus,Blackland 29-35 PZ; Clay Loam 29-35 PZ; Low Stony Hill 29-35 PZ,0.0,Densic material; Lithic bedrock,46.75,20.0,33.25,7.25,7.65,3.4125,thin_limestone,Thin rocky limestone / karst
MED,"Medlin, warm-Eckrant association, 8 to 30 percent slopes",393474,,14,16.1,30,,,,,0,3.04,5.23,8.87,10.82,Well drained,Well drained,D,,100,6,50,Very limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Very limited,Very limited,Very limited,Poor,Not rated,Somewhat limited,0.5,Erosion hazard severe,0,1,Medlin,50,Yes,warm,14.0,Very high,Well drained,No,D,ridges on plateaus,Blackland 29-35 PZ; Clay Loam 29-35 PZ; Steep Rocky 29-35 PZ,0.0,Densic material; Lithic bedrock,46.75,20.0,33.25,7.25,7.65,3.4125,steep_rocky_slope,Steep rocky limestone slope
Oa,"Oakalla silty clay loam, 0 to 1 percent slopes, rarely flooded",393475,,0.5,0.5,,,,Rare,Rare,0,4.05,7.8,15.27,22.27,Well drained,Well drained,B,2,90,2,90,Very limited,Very limited,Not rated,Very limited,Somewhat limited,Not rated,Not rated,Somewhat limited,Somewhat limited,Somewhat limited,Poor,Not rated,Somewhat limited,0.443,Erosion hazard slight,0,0,Oakalla,90,Yes,,0.5,Negligible,Well drained,No,B,flood plains on plateaus,Clay Loam 23-31 PZ; Clayey Slope 30-38; Loamy Bottomland 29-35 PZ,,,32.0,18.05,49.95,37.5,8.2,3.5,floodplain_bottomland,Creek / floodplain / bottomland
Ok,"Oakalla silty clay loam, 0 to 2 percent slopes, frequently flooded",393476,,0.5,0.5,,,,Frequent,Frequent,1,4.15,7.9,14.98,21.98,Well drained,Well drained,B,5,90,5,90,Very limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Very limited,Very limited,Very limited,Poor,Not rated,Somewhat limited,0.47,Erosion hazard slight,1,1,Oakalla,90,Yes,,0.5,Negligible,Well drained,No,B,flood plains on plateaus,Clay Loam 29-35 PZ; Loamy Bottomland 29-35 PZ,,,32.0,18.05,49.95,35.0,8.2,3.5,floodplain_bottomland,Creek / floodplain / bottomland
Or,"Orif soils, moist, 0 to 3 percent slopes, frequently flooded",393477,,1,0.9,,,,Frequent,Frequent,1,2,4,5.55,7.05,Well drained,Well drained,A,,100,5,85,Very limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Very limited,Very limited,Very limited,Fair,Not rated,Somewhat limited,0.68,Erosion hazard slight,1,1,Orif,85,Yes,moist,1.0,Negligible,Well drained,No,A,flood plains on river valleys on plateaus,Loamy Bottomland 29-35 PZ,,,9.0,82.0,9.0,60.0,8.2,2.25,floodplain_bottomland,Creek / floodplain / bottomland
PdB,"Pedernales fine sandy loam, 1 to 5 percent slopes",393478,,4,3.9,183,,,,,0,3.35,7.1,14.6,21.64,Well drained,Well drained,C,3,85,3,85,Somewhat limited,Somewhat limited,Not rated,Not rated,Very limited,Not rated,Very limited,Very limited,Very limited,Somewhat limited,Fair,Not rated,Somewhat limited,0.18,Erosion hazard moderate,0,0.5,Pedernales,85,Yes,,4.0,Medium,Well drained,No,C,stream terraces on plateaus,Red Sandy Loam 25-32 PZ; Redland 23-31 PZ; Sandy 25-32 PZ; Sandy Loam; Tight Sandy Loam 25-32 PZ,41.0,Lithic bedrock; Paralithic bedrock,26.25,61.0,12.75,0.0,7.0,0.625,floodplain_bottomland,Creek / floodplain / bottomland
Pt,Pits,393479,,20,20,,,,,,0,1.5,3,6,9,Well drained,Well drained,D,,100,8,100,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Not rated,Not rated,Not rated,,Not rated,0,,Pits,100,Yes,,20.0,Low,Well drained,No,D,gravel pits,,,,,,,0.0,6.5,,disturbed_urban,Disturbed builder soil / roadside / fill
PuC,"Purves clay, 1 to 5 percent slopes",393480,,3,3,48,,,,,0,3.75,6.18,6.18,6.18,Well drained,Well drained,D,,100,4,90,Very limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Very limited,Very limited,Very limited,Poor,Not rated,Somewhat limited,0.5,Erosion hazard slight,0,1,Purves,90,Yes,,3.0,Medium,Well drained,No,D,ridges on plateaus,Adobe 29-35 PZ; Low Stony Hill 29-35 PZ; Shallow 29-35 PZ,0.0,Lithic bedrock; Paralithic bedrock,47.0,21.0,32.0,29.333333333333332,8.066666666666666,2.5,thin_limestone,Thin rocky limestone / karst
